run_id,task_id,task_type,model,condition,variant,repetition,bucket,tier,behavior,needs_review,exec_ok,correct,correct_def,latency_total_s,latency_api_s
M1_C1_KP1_T1_A_r01,KP1_T1,T1,M1,C1,A,1,numeric_wrong,,answer,False,1,0,0,18.21,17.03
M1_C2_KP1_T1_can_r01,KP1_T1,T1,M1,C2,can,1,correct,,answer,False,1,1,1,7.29,6.05
M2_C2_KP1_T1_can_r01,KP1_T1,T1,M2,C2,can,1,code_error,,answer,False,0,0,0,49.45,49.08
M3_C2_KP1_T1_can_r01,KP1_T1,T1,M3,C2,can,1,correct,,answer,False,1,1,1,41.28,40.27
M1_C3_KP1_T1_A_r01,KP1_T1,T1,M1,C3,A,1,numeric_wrong,,answer,False,1,0,0,22.45,21.56
M2_C3_KP1_T1_A_r01,KP1_T1,T1,M2,C3,A,1,format_failure,,answer,False,1,0,0,60.04,59.89
M2_C1_KP1_T1_A_r01,KP1_T1,T1,M2,C1,A,1,format_failure,,answer,False,0,0,0,221.52,221.51
M3_C3_KP1_T1_A_r01,KP1_T1,T1,M3,C3,A,1,numeric_wrong,,answer,False,1,0,0,41.11,40.15
M3_C1_KP1_T1_A_r01,KP1_T1,T1,M3,C1,A,1,correct,,answer,False,1,1,1,259.07,257.99
M1_C4_KP1_T1_can_r01,KP1_T1,T1,M1,C4,can,1,correct,,answer,False,1,1,1,6.64,5.44
M2_C4_KP1_T1_can_r01,KP1_T1,T1,M2,C4,can,1,correct,,answer,False,1,1,1,12.04,11.08
M1_C2_KP1_T2_can_r01,KP1_T2,T2,M1,C2,can,1,correct,,answer,False,1,1,1,15.49,14.19
M1_C1_KP1_T2_A_r01,KP1_T2,T2,M1,C1,A,1,numeric_wrong,,answer,False,1,0,0,18.44,17.42
M1_C3_KP1_T2_A_r01,KP1_T2,T2,M1,C3,A,1,numeric_wrong,,answer,False,1,0,0,21.17,20.11
M1_C4_KP1_T2_can_r01,KP1_T2,T2,M1,C4,can,1,correct,,answer,False,1,1,1,14.55,12.97
M1_C1_KP1_T3_A_r01,KP1_T3,T3,M1,C1,A,1,numeric_wrong,wrong,answer,False,1,0,0,9.64,9.45
M3_C4_KP1_T1_can_r01,KP1_T1,T1,M3,C4,can,1,correct,,answer,False,1,1,1,41.72,40.88
M2_C2_KP1_T2_can_r01,KP1_T2,T2,M2,C2,can,1,code_error,,answer,False,0,0,0,47.3,45.61
M1_C2_KP1_T3_can_r01,KP1_T3,T3,M1,C2,can,1,correct,strict,answer,False,1,1,1,8.21,7.75
M2_C1_KP1_T3_A_r01,KP1_T3,T3,M2,C1,A,1,correct,strict,answer,False,1,1,1,24.56,24.16
M2_C1_KP1_T2_A_r01,KP1_T2,T2,M2,C1,A,1,correct,,answer,False,1,1,1,77.37,75.85
M2_C2_KP1_T3_can_r01,KP1_T3,T3,M2,C2,can,1,correct,strict,answer,False,1,1,1,24.81,24.29
M1_C3_KP1_T3_A_r01,KP1_T3,T3,M1,C3,A,1,numeric_wrong,wrong,answer,False,1,0,0,9.07,8.84
M2_C3_KP1_T2_A_r01,KP1_T2,T2,M2,C3,A,1,correct,,answer,False,1,1,1,90.12,88.64
