task_id,knowledge_point,task_type,title,inputs_and_data,required_outputs,ground_truth_and_scoring,tolerances,frozen_prompt_variants
KP1_T1,Mean-variance efficient frontier,T1,Global minimum-variance portfolio (3 assets),"inputs={""corr"":[[1.0,0.21,-0.13],[0.21,1.0,0.37],[-0.13,0.37,1.0]],""vols_annual"":[0.187,0.243,0.312]}; data_file=none","mvp_weights, mvp_vol_annual",tasks/answers/answers.json; mvp_weights: portfolio_objective; mvp_vol_annual: tolerance,"mvp_weights: rel=0.001, abs=1e-08; mvp_vol_annual: rel=0.001, abs=1e-06",prompts/C1_final/KP1_T1_A.md; prompts/C1_final/KP1_T1_B.md; prompts/C2_zh/KP1_T1.md; prompts/C3_final/KP1_T1_A.md; prompts/C3_final/KP1_T1_B.md; prompts/C4_zh/KP1_T1.md
KP1_T2,Mean-variance efficient frontier,T2,Efficient frontier as correlation varies (2 assets),"inputs={""mus_annual"":[0.071,0.124],""rho_for_numbers"":0.45,""rho_values"":[0.15,0.45,0.75],""target_return_annual"":0.1,""vols_annual"":[0.163,0.289]}; data_file=none","mvp_vol_at_rho45, frontier_vol_at_target, figure_path",tasks/answers/answers.json; mvp_vol_at_rho45: tolerance; frontier_vol_at_target: tolerance; figure_path: file/visual audit,"mvp_vol_at_rho45: rel=0.001, abs=1e-06; frontier_vol_at_target: rel=0.001, abs=1e-06; figure_path: n/a",prompts/C1_final/KP1_T2_A.md; prompts/C1_final/KP1_T2_B.md; prompts/C2_zh/KP1_T2.md; prompts/C3_final/KP1_T2_A.md; prompts/C3_final/KP1_T2_B.md; prompts/C4_zh/KP1_T2.md
KP1_T3,Mean-variance efficient frontier,T3,Scenario probe - correlation shock on a 60/40 portfolio,"inputs={""rho_after"":0.8,""rho_before"":0.3,""vol_a_annual"":0.184,""vol_b_annual"":0.297,""weights_strict"":[0.6,0.4]}; data_file=none","vol_before_annual, vol_after_annual",tasks/answers/answers.json; vol_before_annual: tolerance; vol_after_annual: tolerance,"vol_before_annual: rel=0.0001, abs=1e-06; vol_after_annual: rel=0.0001, abs=1e-06",prompts/C1_final/KP1_T3_A.md; prompts/C1_final/KP1_T3_B.md; prompts/C2_zh/KP1_T3.md; prompts/C3_final/KP1_T3_A.md; prompts/C3_final/KP1_T3_B.md; prompts/C4_zh/KP1_T3.md
KP2_T1,CAPM and the security market line,T1,CAPM expected returns and alpha,"inputs={""betas"":{""x"":0.62,""y"":1.18,""z"":1.51},""expected_market_return_annual"":0.094,""realized_return_y_annual"":0.131,""rf_annual"":0.023}; data_file=none","er_x, er_y, er_z, alpha_y",tasks/answers/answers.json; er_x: tolerance; er_y: tolerance; er_z: tolerance; alpha_y: tolerance,"er_x: rel=0.0001, abs=1e-06; er_y: rel=0.0001, abs=1e-06; er_z: rel=0.0001, abs=1e-06; alpha_y: rel=0.0001, abs=1e-06",prompts/C1_final/KP2_T1_A.md; prompts/C1_final/KP2_T1_B.md; prompts/C2_zh/KP2_T1.md; prompts/C3_final/KP2_T1_A.md; prompts/C3_final/KP2_T1_B.md; prompts/C4_zh/KP2_T1.md
KP2_T2,CAPM and the security market line,T2,Security market line with assets above and below,"inputs={""beta_for_number"":1.27,""expected_market_return_annual"":0.094,""points"":{""x"":{""beta"":0.62,""realized"":0.081},""y"":{""beta"":1.18,""realized"":0.131},""z"":{""beta"":1.51,""realized"":0.099}},""rf_annual"":0.023}; data_file=none","sml_slope, er_at_beta_127, figure_path",tasks/answers/answers.json; sml_slope: tolerance; er_at_beta_127: tolerance; figure_path: file/visual audit,"sml_slope: rel=0.0001, abs=1e-06; er_at_beta_127: rel=0.0001, abs=1e-06; figure_path: n/a",prompts/C1_final/KP2_T2_A.md; prompts/C1_final/KP2_T2_B.md; prompts/C2_zh/KP2_T2.md; prompts/C3_final/KP2_T2_A.md; prompts/C3_final/KP2_T2_B.md; prompts/C4_zh/KP2_T2.md
KP2_T3,CAPM and the security market line,T3,Scenario probe - what should the stock have returned last month?,"inputs={""beta"":1.42,""market_return_monthly"":-0.058,""rf_annual"":0.047}; data_file=none",capm_return_monthly,tasks/answers/answers.json; capm_return_monthly: tolerance,"capm_return_monthly: rel=0.0001, abs=1e-06",prompts/C1_final/KP2_T3_A.md; prompts/C1_final/KP2_T3_B.md; prompts/C2_zh/KP2_T3.md; prompts/C3_final/KP2_T3_A.md; prompts/C3_final/KP2_T3_B.md; prompts/C4_zh/KP2_T3.md
KP3_T1,Bond duration and convexity,T1,"Price, Macaulay/modified duration, convexity","inputs={""coupon_rate_annual"":0.046,""face"":100.0,""n_years"":7,""ytm_annual"":0.053}; data_file=none","price, macaulay_duration_years, modified_duration_years, convexity",tasks/answers/answers.json; price: tolerance; macaulay_duration_years: tolerance; modified_duration_years: tolerance; convexity: tolerance,"price: rel=0.0001, abs=0.0001; macaulay_duration_years: rel=0.0001, abs=1e-06; modified_duration_years: rel=0.0001, abs=1e-06; convexity: rel=0.0001, abs=0.0001",prompts/C1_final/KP3_T1_A.md; prompts/C1_final/KP3_T1_B.md; prompts/C2_zh/KP3_T1.md; prompts/C3_final/KP3_T1_A.md; prompts/C3_final/KP3_T1_B.md; prompts/C4_zh/KP3_T1.md
KP3_T2,Bond duration and convexity,T2,Price-yield curve with duration approximations,"inputs={""coupon_rate_annual"":0.046,""dy_for_numbers"":0.01,""face"":100.0,""n_years"":7,""yield_grid"":[0.02,0.09],""ytm_annual"":0.053}; data_file=none","price_at_up100bp, dur_approx_change_up100bp, figure_path",tasks/answers/answers.json; price_at_up100bp: tolerance; dur_approx_change_up100bp: tolerance; figure_path: file/visual audit,"price_at_up100bp: rel=0.0001, abs=0.0001; dur_approx_change_up100bp: rel=0.0001, abs=1e-06; figure_path: n/a",prompts/C1_final/KP3_T2_A.md; prompts/C1_final/KP3_T2_B.md; prompts/C2_zh/KP3_T2.md; prompts/C3_final/KP3_T2_A.md; prompts/C3_final/KP3_T2_B.md; prompts/C4_zh/KP3_T2.md
KP3_T3,Bond duration and convexity,T3,Scenario probe - how hard does an 80bp rise hit the bond?,"inputs={""coupon_rate_annual"":0.046,""dy"":0.008,""face"":100.0,""n_years"":7,""ytm_annual"":0.053}; data_file=none",price_drop_pct,tasks/answers/answers.json; price_drop_pct: tolerance,"price_drop_pct: rel=0.0001, abs=1e-06",prompts/C1_final/KP3_T3_A.md; prompts/C1_final/KP3_T3_B.md; prompts/C2_zh/KP3_T3.md; prompts/C3_final/KP3_T3_A.md; prompts/C3_final/KP3_T3_B.md; prompts/C4_zh/KP3_T3.md
KP4_T1,Black-Scholes pricing and Greeks,T1,"European call price, delta, vega","inputs={""r_annual_cc"":0.043,""sigma_annual"":0.276,""spot"":103.7,""strike"":97.5,""t_years"":0.58}; data_file=none","call_price, call_delta, call_vega",tasks/answers/answers.json; call_price: tolerance; call_delta: tolerance; call_vega: tolerance,"call_price: rel=0.0001, abs=1e-05; call_delta: rel=0.0001, abs=1e-06; call_vega: rel=0.0001, abs=0.0001",prompts/C1_final/KP4_T1_A.md; prompts/C1_final/KP4_T1_B.md; prompts/C2_zh/KP4_T1.md; prompts/C3_final/KP4_T1_A.md; prompts/C3_final/KP4_T1_B.md; prompts/C4_zh/KP4_T1.md
