run_id,experiment,task_id,variant,temperature,rep,exec_ok,correct,correct_def,bucket,tier,latency_api_s,model
ablation_KP1_T1_C1_tNone_r01,ablation,KP1_T1,C1,,1,1,0,0,numeric_wrong,,15.52,deepseek-chat
ablation_KP1_T1_C1_tNone_r02,ablation,KP1_T1,C1,,2,1,0,0,numeric_wrong,,23.41,deepseek-chat
ablation_KP1_T1_C1_tNone_r03,ablation,KP1_T1,C1,,3,1,1,1,correct,,49.84,deepseek-chat
ablation_KP1_T1_C1_tNone_r04,ablation,KP1_T1,C1,,4,1,0,0,numeric_wrong,,43.44,deepseek-chat
ablation_KP1_T1_C1_tNone_r05,ablation,KP1_T1,C1,,5,1,1,1,correct,,22.96,deepseek-chat
ablation_KP1_T1_contract_only_tNone_r01,ablation,KP1_T1,contract_only,,1,1,1,1,correct,,9.13,deepseek-chat
ablation_KP1_T1_contract_only_tNone_r02,ablation,KP1_T1,contract_only,,2,1,1,1,correct,,39.72,deepseek-chat
ablation_KP1_T1_contract_only_tNone_r03,ablation,KP1_T1,contract_only,,3,1,1,1,correct,,32.02,deepseek-chat
ablation_KP1_T1_contract_only_tNone_r04,ablation,KP1_T1,contract_only,,4,1,1,1,correct,,40.85,deepseek-chat
ablation_KP1_T1_contract_only_tNone_r05,ablation,KP1_T1,contract_only,,5,0,0,0,format_failure,,653.29,deepseek-chat
ablation_KP1_T1_minus_scaffold_tNone_r01,ablation,KP1_T1,minus_scaffold,,1,1,1,1,correct,,17.16,deepseek-chat
ablation_KP1_T1_minus_scaffold_tNone_r02,ablation,KP1_T1,minus_scaffold,,2,1,1,1,correct,,24.82,deepseek-chat
ablation_KP1_T1_minus_scaffold_tNone_r03,ablation,KP1_T1,minus_scaffold,,3,1,1,1,correct,,9.54,deepseek-chat
ablation_KP1_T1_minus_scaffold_tNone_r04,ablation,KP1_T1,minus_scaffold,,4,0,0,0,code_error,,17.86,deepseek-chat
ablation_KP1_T1_minus_scaffold_tNone_r05,ablation,KP1_T1,minus_scaffold,,5,1,1,1,correct,,59.65,deepseek-chat
ablation_KP1_T1_minus_convention_tNone_r01,ablation,KP1_T1,minus_convention,,1,1,1,1,correct,,11.13,deepseek-chat
ablation_KP1_T1_minus_convention_tNone_r02,ablation,KP1_T1,minus_convention,,2,1,1,1,correct,,11.16,deepseek-chat
ablation_KP1_T1_minus_convention_tNone_r03,ablation,KP1_T1,minus_convention,,3,1,1,1,correct,,7.64,deepseek-chat
ablation_KP1_T1_minus_convention_tNone_r04,ablation,KP1_T1,minus_convention,,4,1,1,1,correct,,18.88,deepseek-chat
ablation_KP1_T1_minus_convention_tNone_r05,ablation,KP1_T1,minus_convention,,5,1,1,1,correct,,6.4,deepseek-chat
ablation_KP1_T1_C4_full_tNone_r01,ablation,KP1_T1,C4_full,,1,1,1,1,correct,,202.52,deepseek-chat
ablation_KP1_T1_C4_full_tNone_r02,ablation,KP1_T1,C4_full,,2,1,1,1,correct,,6.42,deepseek-chat
ablation_KP1_T1_C4_full_tNone_r03,ablation,KP1_T1,C4_full,,3,1,1,1,correct,,27.78,deepseek-chat
ablation_KP1_T1_C4_full_tNone_r04,ablation,KP1_T1,C4_full,,4,1,1,1,correct,,5.38,deepseek-chat
ablation_KP1_T1_C4_full_tNone_r05,ablation,KP1_T1,C4_full,,5,1,1,1,correct,,4.96,deepseek-chat
ablation_KP2_T3_C1_tNone_r01,ablation,KP2_T3,C1,,1,1,0,0,numeric_wrong,wrong,7.44,deepseek-chat
ablation_KP2_T3_C1_tNone_r02,ablation,KP2_T3,C1,,2,1,1,1,correct,strict,7.51,deepseek-chat
ablation_KP2_T3_C1_tNone_r03,ablation,KP2_T3,C1,,3,1,0,0,numeric_wrong,wrong,3.98,deepseek-chat
ablation_KP2_T3_C1_tNone_r04,ablation,KP2_T3,C1,,4,1,0,0,numeric_wrong,wrong,3.92,deepseek-chat
ablation_KP2_T3_C1_tNone_r05,ablation,KP2_T3,C1,,5,1,1,1,correct,strict,5.78,deepseek-chat
ablation_KP2_T3_contract_only_tNone_r01,ablation,KP2_T3,contract_only,,1,1,1,1,correct,strict,4.02,deepseek-chat
ablation_KP2_T3_contract_only_tNone_r02,ablation,KP2_T3,contract_only,,2,1,1,1,correct,strict,4.64,deepseek-chat
ablation_KP2_T3_contract_only_tNone_r03,ablation,KP2_T3,contract_only,,3,1,1,1,correct,strict,4.16,deepseek-chat
ablation_KP2_T3_contract_only_tNone_r04,ablation,KP2_T3,contract_only,,4,1,1,1,correct,strict,75.24,deepseek-chat
ablation_KP2_T3_contract_only_tNone_r05,ablation,KP2_T3,contract_only,,5,1,0,0,numeric_wrong,wrong,6.51,deepseek-chat
ablation_KP2_T3_minus_scaffold_tNone_r01,ablation,KP2_T3,minus_scaffold,,1,1,1,1,correct,strict,5.39,deepseek-chat
ablation_KP2_T3_minus_scaffold_tNone_r02,ablation,KP2_T3,minus_scaffold,,2,1,1,1,correct,strict,7.22,deepseek-chat
ablation_KP2_T3_minus_scaffold_tNone_r03,ablation,KP2_T3,minus_scaffold,,3,1,1,1,correct,strict,5.28,deepseek-chat
ablation_KP2_T3_minus_scaffold_tNone_r04,ablation,KP2_T3,minus_scaffold,,4,1,1,1,correct,strict,6.45,deepseek-chat
ablation_KP2_T3_minus_scaffold_tNone_r05,ablation,KP2_T3,minus_scaffold,,5,1,1,1,correct,strict,8.08,deepseek-chat
ablation_KP2_T3_minus_convention_tNone_r01,ablation,KP2_T3,minus_convention,,1,1,1,1,correct,strict,4.61,deepseek-chat
ablation_KP2_T3_minus_convention_tNone_r02,ablation,KP2_T3,minus_convention,,2,1,1,1,correct,strict,5.43,deepseek-chat
ablation_KP2_T3_minus_convention_tNone_r03,ablation,KP2_T3,minus_convention,,3,1,1,1,correct,strict,4.55,deepseek-chat
